t,x,y
2.120000,0.202926,3.089299
2.130000,0.201834,3.067768
2.140000,0.200770,3.046378
2.150000,0.199733,3.025130
2.160000,0.198723,3.004022
2.170000,0.197738,2.983054
2.180000,0.196779,2.962226
2.190000,0.195844,2.941535
2.200000,0.194935,2.920983
2.210000,0.194049,2.900567
2.220000,0.193187,2.880288
2.230000,0.192348,2.860145
2.240000,0.191532,2.840137
2.250000,0.190739,2.820263
2.260000,0.189968,2.800522
2.270000,0.189218,2.780915
2.280000,0.188490,2.761439
2.290000,0.187783,2.742095
2.300000,0.187096,2.722882
2.310000,0.186430,2.703799
2.320000,0.185784,2.684845
2.330000,0.185158,2.666020
2.340000,0.184551,2.647323
2.350000,0.183963,2.628753
2.360000,0.183394,2.610309
2.370000,0.182844,2.591992
2.380000,0.182311,2.573799
2.390000,0.181797,2.555730
2.400000,0.181301,2.537786
2.410000,0.180822,2.519964
2.420000,0.180361,2.502264
2.430000,0.179916,2.484686
2.440000,0.179489,2.467229
2.450000,0.179078,2.449892
2.460000,0.178683,2.432674
2.470000,0.178304,2.415575
2.480000,0.177942,2.398594
2.490000,0.177595,2.381730
2.500000,0.177264,2.364982
2.510000,0.176948,2.348351
2.520000,0.176647,2.331835
2.530000,0.176362,2.315433
2.540000,0.176091,2.299145
2.550000,0.175835,2.282970
2.560000,0.175593,2.266907
2.570000,0.175366,2.250956
2.580000,0.175153,2.235116
2.590000,0.174954,2.219387
2.600000,0.174769,2.203767
2.610000,0.174598,2.188256
2.620000,0.174441,2.172853
2.630000,0.174297,2.157558
2.640000,0.174166,2.142370
2.650000,0.174049,2.127288
2.660000,0.173945,2.112311
2.670000,0.173853,2.097440
2.680000,0.173775,2.082673
2.690000,0.173710,2.068009
2.700000,0.173657,2.053448
2.710000,0.173617,2.038990
2.720000,0.173589,2.024633
2.730000,0.173574,2.010378
2.740000,0.173571,1.996222
2.750000,0.173581,1.982167
2.760000,0.173602,1.968210
2.770000,0.173636,1.954352
2.780000,0.173681,1.940591
2.790000,0.173739,1.926928
2.800000,0.173808,1.913361
2.810000,0.173889,1.899890
2.820000,0.173982,1.886514
2.830000,0.174087,1.873233
2.840000,0.174203,1.860046
2.850000,0.174331,1.846952
2.860000,0.174470,1.833951
2.870000,0.174620,1.821043
2.880000,0.174782,1.808226
2.890000,0.174955,1.795499
2.900000,0.175140,1.782864
2.910000,0.175336,1.770317
2.920000,0.175543,1.757861
2.930000,0.175761,1.745492
2.940000,0.175990,1.733212
2.950000,0.176230,1.721019
2.960000,0.176482,1.708913
2.970000,0.176744,1.696893
2.980000,0.177017,1.684959
2.990000,0.177302,1.673110
3.000000,0.177597,1.661345
3.010000,0.177903,1.649665
3.020000,0.178220,1.638068
3.030000,0.178548,1.626553
3.040000,0.178887,1.615121
3.050000,0.179237,1.603771
3.060000,0.179597,1.592502
3.070000,0.179968,1.581313
3.080000,0.180351,1.570205
3.090000,0.180744,1.559176
3.100000,0.181147,1.548226
3.110000,0.181562,1.537355
3.120000,0.181987,1.526561
3.130000,0.182424,1.515845
3.140000,0.182871,1.505206
3.150000,0.183328,1.494643
3.160000,0.183797,1.484156
3.170000,0.184277,1.473745
3.180000,0.184767,1.463408
3.190000,0.185268,1.453145
3.200000,0.185780,1.442956
3.210000,0.186303,1.432841
3.220000,0.186837,1.422798
3.230000,0.187381,1.412828
3.240000,0.187937,1.402929
3.250000,0.188503,1.393102
3.260000,0.189081,1.383346
3.270000,0.189669,1.373660
3.280000,0.190269,1.364043
3.290000,0.190879,1.354497
3.300000,0.191501,1.345019
3.310000,0.192134,1.335609
3.320000,0.192778,1.326267
3.330000,0.193433,1.316993
3.340000,0.194099,1.307786
3.350000,0.194776,1.298645
3.360000,0.195465,1.289571
3.370000,0.196165,1.280562
3.380000,0.196876,1.271618
3.390000,0.197599,1.262739
3.400000,0.198333,1.253925
3.410000,0.199079,1.245174
3.420000,0.199836,1.236486
3.430000,0.200604,1.227862
3.440000,0.201385,1.219300
3.450000,0.202177,1.210800
3.460000,0.202980,1.202362
3.470000,0.203796,1.193985
3.480000,0.204623,1.185668
3.490000,0.205462,1.177413
3.500000,0.206313,1.169217
3.510000,0.207176,1.161080
3.520000,0.208051,1.153003
3.530000,0.208938,1.144985
3.540000,0.209838,1.137024
3.550000,0.210749,1.129122
3.560000,0.211673,1.121277
3.570000,0.212609,1.113489
3.580000,0.213558,1.105758
3.590000,0.214519,1.098084
3.600000,0.215493,1.090465
3.610000,0.216479,1.082901
3.620000,0.217478,1.075393
3.630000,0.218490,1.067940
3.640000,0.219514,1.060541
3.650000,0.220552,1.053196
3.660000,0.221603,1.045904
3.670000,0.222666,1.038666
3.680000,0.223743,1.031480
3.690000,0.224833,1.024347
3.700000,0.225937,1.017267
3.710000,0.227054,1.010237
3.720000,0.228184,1.003260
3.730000,0.229328,0.996333
3.740000,0.230486,0.989457
3.750000,0.231657,0.982631
3.760000,0.232843,0.975856
3.770000,0.234042,0.969130
3.780000,0.235255,0.962453
3.790000,0.236483,0.955825
3.800000,0.237725,0.949245
3.810000,0.238981,0.942714
3.820000,0.240251,0.936231
3.830000,0.241537,0.929795
3.840000,0.242836,0.923407
3.850000,0.244151,0.917065
